"Date(UTC)","UnixTimeStamp","No. of Verified Contracts"
"2021-11-25","1637798400","257"
"2021-11-26","1637884800","211"
"2021-11-27","1637971200","136"
"2021-11-28","1638057600","105"
"2021-11-29","1638144000","256"
"2021-11-30","1638230400","265"
"2021-12-01","1638316800","347"
"2021-12-02","1638403200","231"
"2021-12-03","1638489600","190"
"2021-12-04","1638576000","157"
"2021-12-05","1638662400","107"
"2021-12-06","1638748800","168"
"2021-12-07","1638835200","249"
"2021-12-08","1638921600","240"
"2021-12-09","1639008000","211"
"2021-12-10","1639094400","206"
"2021-12-11","1639180800","209"
"2021-12-12","1639267200","209"
"2021-12-13","1639353600","235"
"2021-12-14","1639440000","197"
"2021-12-15","1639526400","237"
"2021-12-16","1639612800","193"
"2021-12-17","1639699200","257"
"2021-12-18","1639785600","126"
"2021-12-19","1639872000","165"
"2021-12-20","1639958400","299"
"2021-12-21","1640044800","155"
"2021-12-22","1640131200","82"
"2021-12-23","1640217600","310"
"2021-12-24","1640304000","305"
"2021-12-25","1640390400","147"
"2021-12-26","1640476800","186"
"2021-12-27","1640563200","231"
"2021-12-28","1640649600","192"
"2021-12-29","1640736000","218"
"2021-12-30","1640822400","209"
"2021-12-31","1640908800","161"
"2022-01-01","1640995200","142"
"2022-01-02","1641081600","122"
"2022-01-03","1641168000","189"
"2022-01-04","1641254400","142"
"2022-01-05","1641340800","123"
"2022-01-06","1641427200","172"
"2022-01-07","1641513600","207"
"2022-01-08","1641600000","169"
"2022-01-09","1641686400","227"
"2022-01-10","1641772800","233"
"2022-01-11","1641859200","189"
"2022-01-12","1641945600","282"
"2022-01-13","1642032000","223"
"2022-01-14","1642118400","247"
"2022-01-15","1642204800","149"
"2022-01-16","1642291200","201"
"2022-01-17","1642377600","252"
"2022-01-18","1642464000","184"
"2022-01-19","1642550400","287"
"2022-01-20","1642636800","284"
"2022-01-21","1642723200","205"
"2022-01-22","1642809600","164"
"2022-01-23","1642896000","206"
"2022-01-24","1642982400","218"
"2022-01-25","1643068800","212"
"2022-01-26","1643155200","222"
"2022-01-27","1643241600","262"
"2022-01-28","1643328000","228"
"2022-01-29","1643414400","207"
"2022-01-30","1643500800","219"
