"Transaction","From","To","Crypto","USD","Txn","ID","Sex","Type","Skin","Slots","Rank"
"Claimed",NA,"48543",NA,NA,2017-06-23,8405,"Girl","Female","Light",3,"2142720000%"
"Sold","8533182","8350887",0.1,70,2017-12-13,8406,"Girl","Female","Mid",3,"4505600000%"
"Claimed",NA,"8533182",NA,NA,2017-06-23,8406,"Girl","Female","Mid",3,"4505600000%"
"Sold","0xfb077c","GoWest23",1.5,200,2020-01-04,8407,"Guy","Male","Light",4,"2673767250%"
"Claimed",NA,"0xfb077c",NA,NA,2017-06-23,8407,"Guy","Male","Light",4,"2673767250%"
"Sold","Michel_M…","0x3ee505",2.29,792,2020-09-24,8408,"Guy","Male","Mid",3,"3408009000%"
"Sold","Pranksy","Michel_M…",2.19,752,2020-09-24,8408,"Guy","Male","Mid",3,"3408009000%"
"Sold","Hemba","Pranksy",1.8,613,2020-09-22,8408,"Guy","Male","Mid",3,"3408009000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8408,"Guy","Male","Mid",3,"3408009000%"
"Sold","0xe4c479","0x033ee7",2.9,1031,2020-09-26,8409,"Guy","Male","Dark",3,"2141832000%"
"Sold","Pranksy","0xe4c479",2.75,937,2020-09-25,8409,"Guy","Male","Dark",3,"2141832000%"
"Sold","0x5aaeb9","Pranksy",2.29,792,2020-09-24,8409,"Guy","Male","Dark",3,"2141832000%"
"Sold","Pranksy","0x5aaeb9",2.19,757,2020-09-24,8409,"Guy","Male","Dark",3,"2141832000%"
"Sold","Hemba","Pranksy",1.8,613,2020-09-22,8409,"Guy","Male","Dark",3,"2141832000%"
"Claimed",NA,"Hemba",NA,NA,2017-06-23,8409,"Guy","Male","Dark",3,"2141832000%"
"Claimed",NA,"14215174",NA,NA,2017-06-23,8410,"Guy","Male","Dark",3,"5785362000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8411,"Girl","Female","Light",2,"1017600000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8412,"Guy","Male","Light",4,"2223861750%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8413,"Guy","Male","Dark",2,"1280268000%"
"Sold","0x4dcaf3","393680",1.5,314,2020-04-29,8414,"Girl","Female","Albino",2,"1534080000%"
"Sold","0xe45df5","5098227",0.6,145,2017-07-07,8414,"Girl","Female","Albino",2,"1534080000%"
"Claimed",NA,"14966261",NA,NA,2017-06-23,8414,"Girl","Female","Albino",2,"1534080000%"
"Claimed",NA,"Punkofth…",NA,NA,2017-06-23,8415,"Guy","Male","Light",2,"2551477500%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8416,"Girl","Female","Light",4,"3415680000%"
"Sold","ddaavvee","sov",0.4,98,2017-07-08,8417,"Girl","Female","Albino",2,"1497600000%"
"Claimed",NA,"ddaavvee",NA,NA,2017-06-23,8417,"Girl","Female","Albino",2,"1497600000%"
"Claimed",NA,"13401139",NA,NA,2017-06-23,8418,"Girl","Female","Albino",3,"1425920000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8419,"Girl","Female","Light",2,"1484160000%"
"Claimed",NA,"13401139",NA,NA,2017-06-23,8420,"Girl","Female","Mid",2,"1950720000%"
"Claimed",NA,"22034",NA,NA,2017-06-23,8421,"Girl","Female","Albino",3,"2085120000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8422,"Guy","Male","Light",4,"6286599000%"
"Sold","0x1da533","0x033ee7",3.12,1079,2020-09-24,8423,"Guy","Male","Light",3,"6375171000%"
"Sold","0x1a96af","DANNY",0.79,146,2020-05-11,8423,"Guy","Male","Light",3,"6375171000%"
"Claimed",NA,"0xe45df5",NA,NA,2017-06-23,8423,"Guy","Male","Light",3,"6375171000%"
"Sold","0x682c30","GoWest23",0.49,65,2020-01-04,8424,"Girl","Female","Mid",2,"1660800000%"
"Claimed",NA,"0x682c30",NA,NA,2017-06-23,8424,"Girl","Female","Mid",2,"1660800000%"
"Sold","6781763","5639058",0.59,112,2017-07-11,8425,"Girl","Female","Light",4,"3627840000%"
"Sold","6827056","6781763",0.35,86,2017-07-08,8425,"Girl","Female","Light",4,"3627840000%"
"Claimed",NA,"6827056",NA,NA,2017-06-23,8425,"Girl","Female","Light",4,"3627840000%"
"Claimed",NA,"13401139",NA,NA,2017-06-23,8426,"Girl","Female","Light",3,"1132800000%"
"Sold","0x19ac60","0x3782c5",6,3772,2020-12-22,8427,"Guy","Male","Dark",4,"5302242000%"
"Claimed",NA,"0x00d7c9",NA,NA,2017-06-23,8427,"Guy","Male","Dark",4,"5302242000%"
"Claimed",NA,"7293485",NA,NA,2017-06-23,8428,"Girl","Female","Dark",3,"3804160000%"
"Sold","1949179","15978259",0.35,38,2019-01-30,8429,"Guy","Male","Albino",3,"2590731000%"
"Sold","2299655","1949179",0.1,56,2018-03-20,8429,"Guy","Male","Albino",3,"2590731000%"
"Claimed",NA,"2299655",NA,NA,2017-06-23,8429,"Guy","Male","Albino",3,"2590731000%"
"Claimed",NA,"11976269",NA,NA,2017-06-23,8430,"Guy","Male","Light",3,"2149884000%"
"Sold","jmg","GoWest23",0.85,209,2019-05-23,8431,"Girl","Female","Light",3,"1297920000%"
"Sold","0x00d7c9","jmg",0.7,116,2019-04-06,8431,"Girl","Female","Light",3,"1297920000%"
