Punk,Sex,Type,Skin,TypeSkin,Slots,Att1,Att2,Att3,Att4,Att5,Att6,Att7,TypeRare,AttCount,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Min,Avg,Rank
4694,Guy,Male,Mid,MaleMid,2,Smile,Do-rag,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.38%,3.00%,,,,,,2.38%,2.69%,1624491000%
1499,Guy,Male,Light,MaleLight,2,Spots,Crazy hair,(blank),(blank),(blank),(blank),(blank),60%,35.60%,1.24%,4.14%,,,,,,1.24%,2.69%,1624491000%
2636,Guy,Male,Light,MaleLight,2,Smile,Do-rag,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.38%,3.00%,,,,,,2.38%,2.69%,1624491000%
5566,Girl,Female,Dark,FemaleDark,3,Black Lipstick,Straight Hair,Classic Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.51%,5.02%,,,,,1.51%,4.23%,1625600000%
5007,Girl,Female,Albino,FemaleAlbino,2,Hot Lipstick,Straight Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.51%,,,,,,1.51%,4.24%,1626240000%
9632,Girl,Female,Dark,FemaleDark,2,Stringy Hair,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.63%,3.84%,,,,,,3.84%,4.24%,1626240000%
5461,Girl,Female,Light,FemaleLight,2,Stringy Hair,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.63%,3.84%,,,,,,3.84%,4.24%,1626240000%
4722,Girl,Female,Mid,FemaleMid,2,Hot Lipstick,Straight Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.51%,,,,,,1.51%,4.24%,1626240000%
3030,Girl,Female,Mid,FemaleMid,2,Stringy Hair,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.63%,3.84%,,,,,,3.84%,4.24%,1626240000%
6151,Guy,Male,Albino,MaleAlbino,3,Handlebars,Hoodie,3D Glasses,(blank),(blank),(blank),(blank),60%,45.01%,2.63%,2.59%,2.86%,,,,,2.59%,2.69%,1626504000%
3039,Guy,Male,Dark,MaleDark,3,Frown,Mustache,Hoodie,(blank),(blank),(blank),(blank),60%,45.01%,2.61%,2.88%,2.59%,,,,,2.59%,2.69%,1626504000%
9129,Guy,Male,Light,MaleLight,3,Muttonchops,Beanie,Eye Patch,(blank),(blank),(blank),(blank),60%,45.01%,3.03%,0.44%,4.61%,,,,,0.44%,2.69%,1626504000%
7228,Girl,Female,Light,FemaleLight,3,Black Lipstick,Frumpy Hair,Clown Nose,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,4.42%,2.12%,,,,,2.12%,4.24%,1626880000%
8071,Guy,Male,Dark,MaleDark,4,Silver Chain,Muttonchops,Vampire Hair,Nerd Glasses,(blank),(blank),(blank),60%,14.20%,1.56%,3.03%,1.47%,4.72%,,,,1.47%,2.70%,1627510500%
8756,Guy,Male,Light,MaleLight,3,Rosy Cheeks,Peak Spike,Small Shades,(blank),(blank),(blank),(blank),60%,45.01%,1.28%,3.03%,3.78%,,,,,1.28%,2.70%,1628517000%
4575,Girl,Female,Dark,FemaleDark,4,Purple Lipstick,Mole,Wild White Hair,Purple Eye Shadow,(blank),(blank),(blank),38%,14.20%,6.55%,6.44%,1.36%,2.62%,,,,1.36%,4.24%,1629120000%
1289,Girl,Female,Dark,FemaleDark,3,Purple Lipstick,Dark Hair,Eye Patch,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.57%,4.61%,,,,,1.57%,4.24%,1629440000%
4710,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Blonde Short,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.29%,5.27%,,,,,1.29%,4.24%,1629440000%
7726,Guy,Male,Albino,MaleAlbino,2,Cap Forward,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.54%,2.86%,,,,,,2.54%,2.70%,1630530000%
1014,Guy,Male,Dark,MaleDark,2,Luxurious Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.86%,2.54%,,,,,,2.54%,2.70%,1630530000%
4400,Guy,Male,Dark,MaleDark,2,Cap Forward,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.54%,2.86%,,,,,,2.54%,2.70%,1630530000%
7951,Guy,Male,Mid,MaleMid,3,Silver Chain,Muttonchops,Cap,(blank),(blank),(blank),(blank),60%,45.01%,1.56%,3.03%,3.51%,,,,,1.56%,2.70%,1630530000%
6542,Guy,Male,Mid,MaleMid,3,Normal Beard,Fedora,VR,(blank),(blank),(blank),(blank),60%,45.01%,2.92%,1.86%,3.32%,,,,,1.86%,2.70%,1630530000%
8033,Guy,Male,Mid,MaleMid,2,Cap Forward,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.54%,2.86%,,,,,,2.54%,2.70%,1630530000%
7098,Guy,Male,Light,MaleLight,2,Luxurious Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.86%,2.54%,,,,,,2.54%,2.70%,1630530000%
7082,Girl,Female,Dark,FemaleDark,3,Purple Lipstick,Half Shaved,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.47%,4.72%,,,,,1.47%,4.25%,1630720000%
8533,Girl,Female,Light,FemaleLight,3,Purple Lipstick,Half Shaved,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.47%,4.72%,,,,,1.47%,4.25%,1630720000%
3366,Girl,Female,Dark,FemaleDark,3,Purple Lipstick,Straight Hair Dark,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.48%,4.72%,,,,,1.48%,4.25%,1632000000%
9921,Girl,Female,Albino,FemaleAlbino,4,Frumpy Hair,Cigarette,Welding Goggles,Clown Nose,(blank),(blank),(blank),38%,14.20%,4.42%,9.61%,0.86%,2.12%,,,,0.86%,4.25%,1632960000%
3084,Girl,Female,Light,FemaleLight,4,Black Lipstick,Rosy Cheeks,Mohawk Dark,Regular Shades,(blank),(blank),(blank),38%,14.20%,6.17%,1.28%,4.29%,5.27%,,,,1.28%,4.25%,1632960000%
6308,Guy,Male,Dark,MaleDark,2,Chinstrap,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.82%,2.59%,,,,,,2.59%,2.71%,1633549500%
1615,Guy,Male,Light,MaleLight,2,Chinstrap,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.82%,2.59%,,,,,,2.59%,2.71%,1633549500%
6632,Guy,Male,Albino,MaleAlbino,2,Smile,Peak Spike,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.38%,3.03%,,,,,,2.38%,2.71%,1633549500%
4005,Guy,Male,Mid,MaleMid,2,Smile,Peak Spike,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.38%,3.03%,,,,,,2.38%,2.71%,1633549500%
6410,Guy,Male,Light,MaleLight,2,Buck Teeth,Stringy Hair,(blank),(blank),(blank),(blank),(blank),60%,35.60%,0.78%,4.63%,,,,,,0.78%,2.71%,1633549500%
7166,Guy,Male,Light,MaleLight,2,Smile,Peak Spike,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.38%,3.03%,,,,,,2.38%,2.71%,1633549500%
8188,Guy,Male,Mid,MaleMid,3,Normal Beard,Cowboy Hat,Small Shades,(blank),(blank),(blank),(blank),60%,45.01%,2.92%,1.42%,3.78%,,,,,1.42%,2.71%,1634556000%
4492,Guy,Male,Mid,MaleMid,3,Normal Beard,Police Cap,Pipe,(blank),(blank),(blank),(blank),60%,45.01%,2.92%,2.03%,3.17%,,,,,2.03%,2.71%,1634556000%
9276,Guy,Male,Light,MaleLight,3,Normal Beard,Police Cap,Pipe,(blank),(blank),(blank),(blank),60%,45.01%,2.92%,2.03%,3.17%,,,,,2.03%,2.71%,1634556000%
9223,Girl,Female,Dark,FemaleDark,3,Purple Lipstick,Pink With Hat,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,0.95%,5.27%,,,,,0.95%,4.26%,1634560000%
2812,Girl,Female,Dark,FemaleDark,3,Purple Lipstick,Cap,Vape,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,3.51%,2.72%,,,,,2.72%,4.26%,1635840000%
1769,Guy,Male,Dark,MaleDark,2,Mustache,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.88%,2.54%,,,,,,2.54%,2.71%,1636569000%
6977,Guy,Male,Mid,MaleMid,2,Mustache,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.88%,2.54%,,,,,,2.54%,2.71%,1636569000%
7168,Guy,Male,Mid,MaleMid,3,Front Beard,Cap Forward,3D Glasses,(blank),(blank),(blank),(blank),60%,45.01%,2.73%,2.54%,2.86%,,,,,2.54%,2.71%,1636569000%
5713,Girl,Female,Albino,FemaleAlbino,2,Hot Lipstick,Dark Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.57%,,,,,,1.57%,4.27%,1637760000%
4200,Girl,Female,Dark,FemaleDark,2,Hot Lipstick,Dark Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.57%,,,,,,1.57%,4.27%,1637760000%
6806,Girl,Female,Dark,FemaleDark,2,Cap,Classic Shades,(blank),(blank),(blank),(blank),(blank),38%,35.60%,3.51%,5.02%,,,,,,3.51%,4.27%,1637760000%
1495,Girl,Female,Light,FemaleLight,2,Hot Lipstick,Dark Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.57%,,,,,,1.57%,4.27%,1637760000%
507,Girl,Female,Mid,FemaleMid,2,Hot Lipstick,Dark Hair,(blank),(blank),(blank),(blank),(blank),38%,35.60%,6.96%,1.57%,,,,,,1.57%,4.27%,1637760000%
4963,Girl,Female,Mid,FemaleMid,2,Cap,Classic Shades,(blank),(blank),(blank),(blank),(blank),38%,35.60%,3.51%,5.02%,,,,,,3.51%,4.27%,1637760000%
1311,Girl,Female,Mid,FemaleMid,3,Hot Lipstick,Spots,Messy Hair,(blank),(blank),(blank),(blank),38%,45.01%,6.96%,1.24%,4.60%,,,,,1.24%,4.27%,1638400000%
6708,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Wild White Hair,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.36%,5.27%,,,,,1.36%,4.27%,1638400000%
2678,Guy,Male,Dark,MaleDark,3,Buck Teeth,Normal Beard Black,Wild Hair,(blank),(blank),(blank),(blank),60%,45.01%,0.78%,2.89%,4.47%,,,,,0.78%,2.71%,1638582000%
1590,Guy,Male,Mid,MaleMid,3,Normal Beard Black,Vampire Hair,Small Shades,(blank),(blank),(blank),(blank),60%,45.01%,2.89%,1.47%,3.78%,,,,,1.47%,2.71%,1638582000%
2477,Guy,Male,Albino,MaleAlbino,2,Normal Beard Black,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.54%,,,,,,2.54%,2.72%,1639588500%
5015,Guy,Male,Dark,MaleDark,4,Buck Teeth,Goat,Mohawk,Vape,(blank),(blank),(blank),60%,14.20%,0.78%,2.95%,4.41%,2.72%,,,,0.78%,2.72%,1639588500%
399,Guy,Male,Dark,MaleDark,2,Purple Hair,Small Shades,(blank),(blank),(blank),(blank),(blank),60%,35.60%,1.65%,3.78%,,,,,,1.65%,2.72%,1639588500%
8590,Guy,Male,Dark,MaleDark,2,Normal Beard Black,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.54%,,,,,,2.54%,2.72%,1639588500%
5480,Guy,Male,Mid,MaleMid,2,Purple Hair,Small Shades,(blank),(blank),(blank),(blank),(blank),60%,35.60%,1.65%,3.78%,,,,,,1.65%,2.72%,1639588500%
4507,Guy,Male,Mid,MaleMid,2,Normal Beard Black,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.54%,,,,,,2.54%,2.72%,1639588500%
3979,Guy,Male,Light,MaleLight,2,Normal Beard Black,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.54%,,,,,,2.54%,2.72%,1639588500%
8239,Girl,Female,Mid,FemaleMid,4,Black Lipstick,Bandana,Pipe,Eye Mask,(blank),(blank),(blank),38%,14.20%,6.17%,4.81%,3.17%,2.93%,,,,2.93%,4.27%,1639680000%
8193,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Blonde Short,Big Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.29%,5.35%,,,,,1.29%,4.27%,1639680000%
1027,Guy,Male,Dark,MaleDark,3,Handlebars,Hoodie,Eye Mask,(blank),(blank),(blank),(blank),60%,45.01%,2.63%,2.59%,2.93%,,,,,2.59%,2.72%,1640595000%
9612,Guy,Male,Dark,MaleDark,3,Frown,Goat,Hoodie,(blank),(blank),(blank),(blank),60%,45.01%,2.61%,2.95%,2.59%,,,,,2.59%,2.72%,1640595000%
8864,Guy,Male,Mid,MaleMid,3,Goat,Police Cap,Pipe,(blank),(blank),(blank),(blank),60%,45.01%,2.95%,2.03%,3.17%,,,,,2.03%,2.72%,1640595000%
3052,Guy,Male,Light,MaleLight,3,Normal Beard Black,Cap,Medical Mask,(blank),(blank),(blank),(blank),60%,45.01%,2.89%,3.51%,1.75%,,,,,1.75%,2.72%,1640595000%
1662,Girl,Female,Light,FemaleLight,4,Purple Lipstick,Mole,Straight Hair Dark,Purple Eye Shadow,(blank),(blank),(blank),38%,14.20%,6.55%,6.44%,1.48%,2.62%,,,,1.48%,4.27%,1640640000%
9050,Girl,Female,Dark,FemaleDark,4,Black Lipstick,Rosy Cheeks,Stringy Hair,Classic Shades,(blank),(blank),(blank),38%,14.20%,6.17%,1.28%,4.63%,5.02%,,,,1.28%,4.28%,1641600000%
7519,Guy,Male,Mid,MaleMid,3,Shadow Beard,Top Hat,Medical Mask,(blank),(blank),(blank),(blank),60%,45.01%,5.26%,1.15%,1.75%,,,,,1.15%,2.72%,1642608000%
6389,Girl,Female,Light,FemaleLight,3,Purple Lipstick,Dark Hair,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.57%,4.72%,,,,,1.57%,4.28%,1643520000%
8585,Girl,Female,Mid,FemaleMid,3,Purple Lipstick,Dark Hair,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.57%,4.72%,,,,,1.57%,4.28%,1643520000%
9893,Guy,Male,Dark,MaleDark,3,Luxurious Beard,Hoodie,Vape,(blank),(blank),(blank),(blank),60%,45.01%,2.86%,2.59%,2.72%,,,,,2.59%,2.72%,1644621000%
5213,Guy,Male,Light,MaleLight,3,Chinstrap,Police Cap,VR,(blank),(blank),(blank),(blank),60%,45.01%,2.82%,2.03%,3.32%,,,,,2.03%,2.72%,1644621000%
1108,Guy,Male,Dark,MaleDark,2,Luxurious Beard,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.86%,2.59%,,,,,,2.59%,2.73%,1645627500%
3876,Guy,Male,Dark,MaleDark,2,Hoodie,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.59%,2.86%,,,,,,2.59%,2.73%,1645627500%
5116,Guy,Male,Mid,MaleMid,2,Hoodie,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.59%,2.86%,,,,,,2.59%,2.73%,1645627500%
4441,Guy,Male,Light,MaleLight,2,Hoodie,3D Glasses,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.59%,2.86%,,,,,,2.59%,2.73%,1645627500%
5082,Girl,Female,Mid,FemaleMid,3,Hot Lipstick,Blonde Short,Eye Patch,(blank),(blank),(blank),(blank),38%,45.01%,6.96%,1.29%,4.61%,,,,,1.29%,4.29%,1646080000%
2013,Girl,Female,Albino,FemaleAlbino,1,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),(blank),38%,3.33%,4.29%,,,,,,,4.29%,4.29%,1647360000%
532,Girl,Female,Dark,FemaleDark,1,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),(blank),38%,3.33%,4.29%,,,,,,,4.29%,4.29%,1647360000%
5863,Girl,Female,Dark,FemaleDark,3,Hot Lipstick,Rosy Cheeks,Stringy Hair,(blank),(blank),(blank),(blank),38%,45.01%,6.96%,1.28%,4.63%,,,,,1.28%,4.29%,1647360000%
2396,Girl,Female,Light,FemaleLight,1,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),(blank),38%,3.33%,4.29%,,,,,,,4.29%,4.29%,1647360000%
438,Girl,Female,Mid,FemaleMid,1,Mohawk Dark,(blank),(blank),(blank),(blank),(blank),(blank),38%,3.33%,4.29%,,,,,,,4.29%,4.29%,1647360000%
7689,Girl,Female,Mid,FemaleMid,4,Purple Lipstick,Cap,Medical Mask,Horned Rim Glasses,(blank),(blank),(blank),38%,14.20%,6.55%,3.51%,1.75%,5.35%,,,,1.75%,4.29%,1647360000%
2831,Girl,Female,Dark,FemaleDark,3,Black Lipstick,Wild White Hair,Big Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.36%,5.35%,,,,,1.36%,4.29%,1648640000%
3119,Girl,Female,Dark,FemaleDark,3,Black Lipstick,Wild White Hair,Horned Rim Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.36%,5.35%,,,,,1.36%,4.29%,1648640000%
6592,Girl,Female,Light,FemaleLight,3,Black Lipstick,Straight Hair Blonde,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.44%,5.27%,,,,,1.44%,4.29%,1648640000%
4114,Guy,Male,Albino,MaleAlbino,2,Normal Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.92%,2.54%,,,,,,2.54%,2.73%,1648647000%
3571,Guy,Male,Dark,MaleDark,1,Front Beard,(blank),(blank),(blank),(blank),(blank),(blank),60%,3.33%,2.73%,,,,,,,2.73%,2.73%,1648647000%
2061,Guy,Male,Mid,MaleMid,2,Normal Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.92%,2.54%,,,,,,2.54%,2.73%,1648647000%
2932,Guy,Male,Mid,MaleMid,1,Front Beard,(blank),(blank),(blank),(blank),(blank),(blank),60%,3.33%,2.73%,,,,,,,2.73%,2.73%,1648647000%
2245,Guy,Male,Light,MaleLight,2,Normal Beard,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.92%,2.54%,,,,,,2.54%,2.73%,1648647000%
6921,Guy,Male,Light,MaleLight,1,Front Beard,(blank),(blank),(blank),(blank),(blank),(blank),60%,3.33%,2.73%,,,,,,,2.73%,2.73%,1648647000%
7407,Guy,Male,Light,MaleLight,2,Beanie,Classic Shades,(blank),(blank),(blank),(blank),(blank),60%,35.60%,0.44%,5.02%,,,,,,0.44%,2.73%,1648647000%
2104,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Headband,Blue Eye Shadow,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,4.06%,2.66%,,,,,2.66%,4.30%,1649920000%
3136,Guy,Male,Dark,MaleDark,3,Rosy Cheeks,Headband,3D Glasses,(blank),(blank),(blank),(blank),60%,45.01%,1.28%,4.06%,2.86%,,,,,1.28%,2.73%,1650660000%
8940,Guy,Male,Dark,MaleDark,3,Smile,Chinstrap,Shaved Head,(blank),(blank),(blank),(blank),60%,45.01%,2.38%,2.82%,3.00%,,,,,2.38%,2.73%,1650660000%
6358,Girl,Female,Mid,FemaleMid,3,Purple Lipstick,Messy Hair,Medical Mask,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,4.60%,1.75%,,,,,1.75%,4.30%,1651200000%
8705,Guy,Male,Dark,MaleDark,2,Purple Hair,Clown Eyes Green,(blank),(blank),(blank),(blank),(blank),60%,35.60%,1.65%,3.82%,,,,,,1.65%,2.74%,1651666500%
4661,Guy,Male,Dark,MaleDark,2,Cap Forward,Eye Mask,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.54%,2.93%,,,,,,2.54%,2.74%,1651666500%
7779,Guy,Male,Dark,MaleDark,2,Mustache,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.88%,2.59%,,,,,,2.59%,2.74%,1651666500%
9347,Guy,Male,Mid,MaleMid,2,Purple Hair,Clown Eyes Green,(blank),(blank),(blank),(blank),(blank),60%,35.60%,1.65%,3.82%,,,,,,1.65%,2.74%,1651666500%
7616,Guy,Male,Mid,MaleMid,2,Cap Forward,Eye Mask,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.54%,2.93%,,,,,,2.54%,2.74%,1651666500%
2616,Guy,Male,Mid,MaleMid,2,Mustache,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.88%,2.59%,,,,,,2.59%,2.74%,1651666500%
2258,Guy,Male,Light,MaleLight,2,Mustache,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.88%,2.59%,,,,,,2.59%,2.74%,1651666500%
6867,Guy,Male,Dark,MaleDark,3,Muttonchops,Fedora,VR,(blank),(blank),(blank),(blank),60%,45.01%,3.03%,1.86%,3.32%,,,,,1.86%,2.74%,1652673000%
9878,Guy,Male,Dark,MaleDark,4,Gold Chain,Normal Beard Black,Hoodie,Small Shades,(blank),(blank),(blank),60%,14.20%,1.69%,2.89%,2.59%,3.78%,,,,1.69%,2.74%,1653176250%
2743,Girl,Female,Albino,FemaleAlbino,3,Black Lipstick,Straight Hair Dark,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.48%,5.27%,,,,,1.48%,4.31%,1653760000%
8623,Girl,Female,Light,FemaleLight,3,Black Lipstick,Straight Hair Dark,Regular Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.48%,5.27%,,,,,1.48%,4.31%,1653760000%
8748,Guy,Male,Light,MaleLight,3,Rosy Cheeks,Mustache,Headband,(blank),(blank),(blank),(blank),60%,45.01%,1.28%,2.88%,4.06%,,,,,1.28%,2.74%,1654686000%
364,Guy,Male,Albino,MaleAlbino,2,Normal Beard Black,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.59%,,,,,,2.59%,2.74%,1654686000%
58,Guy,Male,Mid,MaleMid,2,Normal Beard Black,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.59%,,,,,,2.59%,2.74%,1654686000%
772,Guy,Male,Light,MaleLight,2,Normal Beard Black,Hoodie,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.89%,2.59%,,,,,,2.59%,2.74%,1654686000%
5976,Girl,Female,Light,FemaleLight,3,Hot Lipstick,Pink With Hat,Classic Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.96%,0.95%,5.02%,,,,,0.95%,4.31%,1655040000%
8497,Girl,Female,Light,FemaleLight,3,Black Lipstick,Crazy hair,Purple Eye Shadow,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,4.14%,2.62%,,,,,2.62%,4.31%,1655040000%
8282,Girl,Female,Mid,FemaleMid,3,Purple Lipstick,Wild White Hair,Classic Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.55%,1.36%,5.02%,,,,,1.36%,4.31%,1655040000%
3957,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Crazy hair,Purple Eye Shadow,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,4.14%,2.62%,,,,,2.62%,4.31%,1655040000%
4273,Girl,Female,Dark,FemaleDark,2,Bandana,Clown Eyes Green,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.82%,,,,,,3.82%,4.32%,1656960000%
2297,Girl,Female,Light,FemaleLight,2,Bandana,Clown Eyes Green,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.82%,,,,,,3.82%,4.32%,1656960000%
3584,Girl,Female,Mid,FemaleMid,2,Bandana,Clown Eyes Green,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.82%,,,,,,3.82%,4.32%,1656960000%
7863,Guy,Male,Albino,MaleAlbino,2,Goat,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.95%,2.54%,,,,,,2.54%,2.75%,1657705500%
7687,Guy,Male,Dark,MaleDark,2,Goat,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.95%,2.54%,,,,,,2.54%,2.75%,1657705500%
5664,Guy,Male,Mid,MaleMid,2,Goat,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.95%,2.54%,,,,,,2.54%,2.75%,1657705500%
7404,Guy,Male,Light,MaleLight,2,Goat,Cap Forward,(blank),(blank),(blank),(blank),(blank),60%,35.60%,2.95%,2.54%,,,,,,2.54%,2.75%,1657705500%
8123,Guy,Male,Mid,MaleMid,3,Big Beard,Do-rag,Small Shades,(blank),(blank),(blank),(blank),60%,45.01%,1.46%,3.00%,3.78%,,,,,1.46%,2.75%,1658712000%
6895,Girl,Female,Albino,FemaleAlbino,3,Black Lipstick,Wild Blonde,Big Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.44%,5.35%,,,,,1.44%,4.32%,1658880000%
4761,Girl,Female,Dark,FemaleDark,3,Black Lipstick,Straight Hair Blonde,Horned Rim Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.44%,5.35%,,,,,1.44%,4.32%,1658880000%
13,Girl,Female,Light,FemaleLight,3,Black Lipstick,Straight Hair Blonde,Big Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.44%,5.35%,,,,,1.44%,4.32%,1658880000%
3427,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Straight Hair Blonde,Big Shades,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,1.44%,5.35%,,,,,1.44%,4.32%,1658880000%
6376,Girl,Female,Dark,FemaleDark,4,Purple Lipstick,Stringy Hair,Pipe,Eye Mask,(blank),(blank),(blank),38%,14.20%,6.55%,4.63%,3.17%,2.93%,,,,2.93%,4.32%,1658880000%
9961,Guy,Male,Light,MaleLight,4,Normal Beard,Shaved Head,Medical Mask,VR,(blank),(blank),(blank),60%,14.20%,2.92%,3.00%,1.75%,3.32%,,,,1.75%,2.75%,1659215250%
2994,Girl,Female,Dark,FemaleDark,3,Hot Lipstick,Blonde Short,Nerd Glasses,(blank),(blank),(blank),(blank),38%,45.01%,6.96%,1.29%,4.72%,,,,,1.29%,4.32%,1660160000%
5358,Girl,Female,Mid,FemaleMid,3,Black Lipstick,Crazy hair,Blue Eye Shadow,(blank),(blank),(blank),(blank),38%,45.01%,6.17%,4.14%,2.66%,,,,,2.66%,4.32%,1660160000%
4078,Girl,Female,Dark,FemaleDark,3,Mole,Mohawk Thin,Clown Nose,(blank),(blank),(blank),(blank),38%,45.01%,6.44%,4.41%,2.12%,,,,,2.12%,4.32%,1660160000%
3814,Guy,Male,Albino,MaleAlbino,3,Smile,Spots,Stringy Hair,(blank),(blank),(blank),(blank),60%,45.01%,2.38%,1.24%,4.63%,,,,,1.24%,2.75%,1660725000%
374,Girl,Female,Dark,FemaleDark,2,Bandana,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.84%,,,,,,3.84%,4.33%,1660800000%
5099,Girl,Female,Light,FemaleLight,2,Bandana,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.84%,,,,,,3.84%,4.33%,1660800000%
8424,Girl,Female,Mid,FemaleMid,2,Bandana,Clown Eyes Blue,(blank),(blank),(blank),(blank),(blank),38%,35.60%,4.81%,3.84%,,,,,,3.84%,4.33%,1660800000%
