"Wallet Address","Raw"
"0x0039F22efB07A647557C7C5d17854CFD6D489eF3",6.16769324436088e+20
"0xbB1332e692E701bFC0e3C19FfD4Dd619C599ea2a",1.01420402187403e+20
"0x9305D3b084FA269Afe5A1a8Ca414715D39041eb9",4.78684100947243e+20
"0x7f7DC314fC75658D474DBBfe598EbB058CA6aAcd",3.28518453395863e+20
"0x3ac2483105a248b77BDe927cA41A5bbDA968603D",1.21541364829612e+20
"0xA61A8CeC64C404B0050EB3fA3Dd2B4A9C9aE53e7",2.00990720386365e+20
"0xC3f498aEa35d385dc9ca5b3E1F9DBc6Fe3966567",3.06034566248815e+20
"0xDE61987c844bBBfd3267a44bED7C2a0BA9793A34",2.01249439461359e+20
"0xbdf6E91249c335ddf3F656c465326A69C13e1eB0",6.6711485958316e+20
"0xDF069cF635d45C47662434e50A0Cac3173A2394C",40547395160893808640
"0x9999999e2f76ed42E6B1A4EefD0Fd472790Fa1A5",1.43352562505413e+20
"0x0014971DBA5b1481296E6ABdD7234b0d8474BB8C",1.31730946481847e+20
"0x6D9d708278877d474319e63b08F8B7440774D720",1.22450548094182e+20
"0x6dd2ecA4959a8D2E1ef9d6a6463e29750014Ab49",60816717120655876096
"0xB435871B0959561226b4d903b1abf79528177E81",1.10200116565696e+21
"0x2647a18DEB7153deb82a4488f66180f7688b97E2",1.41881261631331e+20
"0xcCaF08555354630f81ff6102714ea27E713956fb",1.62148828093996e+20
"0xa328500Eab25698b8b146D195F35f5b26C93AAEe",3.05557420292004e+20
"0x003F6b20BFA4B5cAb701960eCF73859Cb3c095Fc",40536120274435440640
"0x5975572A86B97f5D0bF17729C1491F848f210334",1.62098755000741e+20
"0x1b44d7dCc0Daa47f3F01C5Ca520f4B32D42dcC3A",81475232426439278592
"0x51940F5F8eB0bf150eDD0Bc00067d8DAbDB16BD6",1.7683609882363e+21
"0x9C2B5E0cd01Ba9c2B2e5CBd1C689c7ADae38A4b9",81205599431285899264
"0x14c90b59F95B9405113Dfedbae88fDD20C29ee36",2.34028389460443e+20
"0x3B01EA5C27FeEba0F8e65C9c2C9C3d8B44e0FF35",61743005277849600000
"0xd8c96BF7c109b62d920254870192648B060aa0DA",40500522138072080384
"0x0fC509F0c44b212c1342333a52Ed3ebED889290D",60778919809762500618
"0x00812076E9460d60E7F9af956cBDA17Ac64eEAA2",40483260576687644672
"0x942242BD77A92EEcc8BF8216e49ED8EF7f4817DF",1.01051014376704e+20
"0x51932a7C302b9f9d5C0ff75359A128b70395b338",8.1726887107858e+19
"0x7d92aa8E261F36A3BCA0F06659C5E0424f8EDB76",80291459362384232458
"0x433054c3E5d1AB5Def23eBDC5aDa39941C3e2C0e",2.22571470377122e+20
"0x2EC84B79eff68b00fEe26Aa2eD1DfDd62C6960dd",40449680725545787392
"0xF5caDBAf94F512Aa1FdB6E5662E31b94504316FA",1.01115193671025e+20
"0x41E06931E14c09ab705A3fAC97D0F865096f1Fe9",3.00594558519557e+20
"0x7D47ee7F8F4A7DAFA26006c6B7D390bcd16f3CFb",40440372664312741888
"0x02bFE1c6A7D246e84D026086413923E503264901",4.0438567598671e+19
"0x54CD85c9a1f15572295dB7Df2A361b74Ebf93FD8",40425176880627515392
"0x33A316107f71909b7d638F7dd40713c8bbE2D684",6.1218657378707e+20
"0x037F91ab7D10359c707628219302ffb1F30e1a1C",2.98089674527508e+20
"0x4E06ec045A1E0d66fF11321b6584EF8513eb2B12",1.81888335093788e+20
"0xbE66171728f29D45e8C9Ad9c280F457cFC776AC7",40405745254439657472
"0x31D81d526C195E3f10B5C6DB52b5e59aFBe0A995",80769293508982636544
"0x79D7a8159406871Df836725f5d45177e6da68E52",40363892240772104192
"0x3910EAc5bb3994e5669F7281dA3253d571D12005",40356664103042629632
"0xfa396090B4dfD2bd86bbf6de63635d6E390b5dE1",40356407016857853952
"0x87F8DC0095d4D02612Df60d445Af17776c82b969",40342160848198860800
"0x4b8d9b2F01048FA9B41C0679f83AC39BcFe8DE4c",40341243777432559616
"0x394c0cbDf12f687D33F53E898D881B73870bB982",80669831763403816960
"0x7F46BB25460dD7DAE4211Ca7f15ad312Fc7Dc75C",80722432565950758912
"0xB631651cB570bA0C0D696bD5E4860cbD214f20a0",8.9562793195226e+20
"0xbD0BE04798b10BEDb2B1C280DEA5E1Be02fEddE4",40332213524926119936
"0x0c7e03cbCb47c3D8B7d38291413dC8307E038D81",4.0332135786422e+19
"0x3a29e208600227E81a13042D9694438251D6F23A",40325126983351476224
"0xD78CC2b4f587a94F23E2F1de0C35045717aC077c",40316340383206170624
"0x297BF847Dcb01f3e870515628b36EAbad491e5E8",3.17536377354986e+20
"0xFf5aDa0f9C68057F46a9da5de0ac2Fb62922F907",2.41852566438021e+20
"0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E",3.59480376550368e+20
"0xfC778FCf3A159F2Ef4b9c32f2A05557597955520",40308064281085427712
"0xc7CE2b993891a0b5cB55B8470d0A27F6FC1c0287",60841124293916311552
"0x7Ce1b91F5fde86951cD4641ea29D53F65CfDe96c",40302069525107818496
"0x0d807d0cA70448078220eFA878d43f61bce3A5c3",1.32090370859994e+21
"0xe010B3bcbB3D077A82985194800227914393360a",1.59561990459082e+20
"0xB3e8fC71F6325e3441b29374Af7D73dCF7B3B038",40292740875643469824
"0xAaF9220BbC1498F7dbd8D1Ea52bf7D46725AC9eC",2.01428139618561e+20
"0xb3E30dEa4952551D57cBBd64ab850965179Ad2d5",1.26399945566573e+20
"0xb3B1Cf4A37A5AD7A3CEA9d5B652AB106c9576b8a",1.00696260258207e+20
"0xE0281e8815a6D46e92a3ec629fE5a491EF178C49",40276797123611385856
"0x44fa0b12FAb515dE7182DbfCCC6aA85d897c4458",1.18911784684831e+20
"0xbC60AA031a9f34BD7992c99eaE5e2C4Dd1b5dBc3",40264283026361196544
"0x604C173F7547EaB64b1A7b1d3A19d09b67F9a071",40263122049142734848
"0xA5975974cAc3fEfd831E42BDd2fe84cb5eE3B3De",2.60800679824524e+20
"0x9d216B80EE76e8F499701FB86Ff83Be01FE7EfBe",1.60997661496319e+20
"0x9ee1873ba8383B1D4ac459aBd3c9C006Eaa8800A",1.20646573994453e+20
"0x9FB0873A5392D4Fe376f18c67f5199676eA9A81a",4.0237939874752e+19
"0xFa398d672936Dcf428116F687244034961545D91",80118630484650098698
"0xE9103B4A33D91Fbb86dc3d9bB9e22a3D1aE225a7",80450190183847559178
"0x5B913FDff95e00Da50a65740576a3C189812A16F",1.62658903863465e+20
"0x98f907312de4149c223C3eD80296A5d0c7a35EaA",80442388110940274698
"0x60A5dcB2fC804874883b797f37CbF1b0582ac2dD",40198815757062758400
"0xf8fd33C4e992aAC4D31cd830B70e82EC3e95dD35",2.32455159575389e+21
"0xD9459cc85E78e0336aDb349EAbF257Dbaf9d5a2B",61439189348055220224
"0xc6AE19e0bBB0199F76CBA732DBfAEC03fA7B9c7E",40189174741589417984
"0x3996769bD6BF1F7380895Bc969302804b3D3125b",1.80843235295452e+20
