"","date","ethLiquidity","ethVolume","marginalEthRate","tokenLiquidity"
"2","2018-11-03",29.6192513489004,11.1223456272045,202.194900378336,5988.86157577181
"3","2018-11-04",29.5135431348183,0.384988599445279,203.653844953211,6010.54653759819
"4","2018-11-05",28.9117492969911,0.720702973530277,212.521040720845,6144.35504965671
"5","2018-11-06",53.8017557811031,2.26600538411204,210.451487656281,11322.6595426531
"6","2018-11-07",59.2241290867269,1.54261334260447,217.430603641929,12877.1381374946
"7","2018-11-08",60.0730520596154,5.42781162590075,211.320664795392,12694.6772975261
"8","2018-11-09",60.6504796049186,9.44891761682339,207.412883044706,12579.6908329003
"9","2018-11-10",59.7118990952238,13.8446133736486,214.851294377663,12829.1788103572
"10","2018-11-11",61.4563303486115,0.984650788487077,209.687860238883,12886.6464089343
"11","2018-11-12",61.0574395952636,1.97889075334791,212.45730708781,12972.0991940863
"12","2018-11-13",67.1712114524456,0.623771857182026,208.216495264639,13986.1542313082
"13","2018-11-14",72.8188284332008,23.0218217592831,177.466586964958,12922.908948827
"14","2018-11-15",73.6234468457615,30.0421861793493,175.238017882683,12901.6268949423
"15","2018-11-16",75.3924447726796,12.8529047189865,174.822639156705,13180.306167636
"16","2018-11-17",75.0136322329232,2.58977897619284,175.206898553555,13142.9058527675
"17","2018-11-18",74.1719934513016,2.64163878162161,179.224667041748,13293.4508301322
"18","2018-11-19",81.2452250893893,8.31676836191235,149.423706606038,12139.9626768984
"19","2018-11-20",87.3896723969788,50.5295004154876,129.376664761607,11306.1843493306
"20","2018-11-21",97.4813211285809,10.2537313141791,134.933021898553,13153.4492385427
"21","2018-11-22",99.3150622841396,10.2354590227315,126.683301994518,12581.560027946
"22","2018-11-23",101.496686111805,9.79814205577533,121.330924783438,12314.6867883997
"23","2018-11-24",105.544714795801,19.1306701379025,112.264129779462,11848.8855593721
"24","2018-11-25",102.327754838821,126.14541627545,116.215727392978,11892.0944610839
"25","2018-11-26",107.167132358692,12.8432651887842,105.995804832766,11359.2664459791
"26","2018-11-27",104.108673486365,10.5047877015977,111.66778647777,11625.5851213592
"27","2018-11-28",99.626268814228,31.8701484468418,122.057075696367,12160.0910340048
"28","2018-11-29",108.583025310807,19.3482135853313,117.852344043358,12796.764056198
"29","2018-11-30",111.366436199558,7.42613725093209,112.289379537357,12505.268022135
"30","2018-12-01",114.850111896854,7.53316227823188,117.565626510252,13502.4253599262
"31","2018-12-02",115.189060921489,9.17489950925049,116.902750835192,13465.9180878446
"32","2018-12-03",120.060131369885,16.1932433958797,108.083414564065,12976.5089514674
"33","2018-12-04",121.28900697598,4.96571774515173,111.097957209175,13474.9609069608
"34","2018-12-05",147.205095873608,22.7424608498231,102.017031949566,15017.4269688768
"35","2018-12-06",159.559342439973,74.718863242968,89.6545128696692,14305.2151202605
"36","2018-12-07",222.128688159858,178.095481613076,93.5809646659493,20787.0169179813
"37","2018-12-08",344.574622114143,72.2863737425248,89.5772178114432,30866.0359774143
"38","2018-12-09",369.440073434317,91.1016917360683,93.1262679885426,34404.5752843511
"39","2018-12-10",427.359733274559,98.3192153727192,89.1094291853629,38081.7818889049
"40","2018-12-11",439.06220487574,84.1708546300577,86.7523413871849,38089.6742875903
"41","2018-12-12",435.876276581211,42.1423359023846,89.064895381846,38821.2749731341
"42","2018-12-13",446.635425396173,20.5641409828314,84.8066003588533,37877.6320276797
"43","2018-12-14",468.740282952929,90.795698669409,80.8244285923096,37885.665527868
"44","2018-12-15",468.572894415145,92.3569297009259,80.883839891955,37899.9749695845
"45","2018-12-16",439.337461864805,32.98501683993,84.2582878909069,37017.8223430651
"46","2018-12-17",431.505219766281,67.6982729590184,94.2562610311248,40672.0686305834
"47","2018-12-18",423.449652838664,52.9225318818357,100.121616315638,42396.463670503
"48","2018-12-19",423.299283001424,182.291119699817,100.087995239446,42367.1766219074
"49","2018-12-20",400.229375147754,103.64688222183,113.710701620945,45510.3630573636
