X,Y
29.60499432,21.48581158
40.17820658,22.1906924
51.45629966,22.89557321
64.14415437,22.89557321
75.42224745,23.60045403
88.11010216,25.01021566
97.27355278,25.71509648
105.7321226,26.4199773
116.3053348,27.82973893
127.5834279,29.23950057
137.4517594,30.6492622
145.9103292,32.05902384
153.6640182,33.46878547
162.122588,34.87854711
170.5811578,36.99318956
180.4494892,39.10783201
189.6129398,41.22247446
198.0715096,44.04199773
204.415437,45.45175936
212.8740068,48.27128263
219.922815,50.38592509
226.2667423,51.79568672
234.0204313,54.61520999
240.3643587,56.72985244
248.1180477,59.54937571
254.461975,60.95913734
261.5107832,63.77866061
268.5595914,65.89330306
275.6083995,68.00794552
281.9523269,70.12258797
287.5913734,72.23723042
293.23042,74.35187287
299.5743473,76.46651532
304.5085131,77.87627696
309.4426788,79.99091941
315.0817253,81.40068104
320.7207719,83.5153235
324.9500568,84.22020431
329.8842225,86.33484677
335.523269,87.7446084
340.4574347,89.85925085
345.3916005,91.26901249
351.030647,93.38365494
357.3745743,95.49829739
362.3087401,96.90805902
368.6526674,99.02270148
375.7014756,101.1373439
380.6356413,102.5471056
386.9795687,104.661748
394.7332577,106.7763905
403.1918275,108.8910329
410.2406356,111.0056754
416.584563,112.415437
423.6333712,113.8251986
430.6821793,115.2349603
437.0261067,115.9398411
444.0749149,115.9398411
450.4188422,115.9398411
456.7627696,114.5300795
462.4018161,112.415437
467.3359818,108.8910329
472.2701476,104.661748
476.4994325,101.1373439
482.8433598,98.31782066
489.892168,99.02270148
499.0556186,101.8422247
494.8263337,100.4324631
504.6946652,104.661748
509.6288309,107.4812713
514.5629966,110.3007946
518.7922815,113.1203178
523.0215664,116.6447219
527.2508513,120.169126
531.4801362,123.6935301
535.0045403,126.5130533
539.2338252,130.0374574
542.7582293,132.8569807
546.9875142,136.3813848
551.9216799,139.9057889
556.1509648,144.1350738
560.3802497,146.954597
565.3144154,150.4790011
570.953462,154.0034052
576.5925085,156.8229285
581.5266742,159.6424518
586.46084,162.461975
592.0998865,165.2814983
597.738933,168.1010216
603.3779796,171.6254257
609.0170261,175.1498297
613.9511918,178.6742338
618.1804767,181.4937571
621.7048808,184.3132804
625.9341657,187.8376844
625.9341657,187.8376844
629.4585698,191.3620885
632.9829739,194.8864926
635.8024972,198.4108967
639.3269012,201.9353008
642.1464245,206.1645857
644.9659478,209.6889898
647.7854711,213.2133939
649.9001135,217.4426788
652.7196368,222.3768445
654.8342792,227.3110102
657.6538025,232.9500568
659.7684449,238.5891033
662.5879682,244.2281498
663.9977299,249.8671964
666.1123723,254.8013621
667.5221339,260.4404086
668.9318956,265.3745743
670.3416572,270.3087401
671.7514188,275.2429058
673.1611805,280.1770715
674.5709421,285.1112372
675.9807037,290.7502838
677.3904654,296.3893303
678.800227,302.0283768
680.2099886,308.3723042
681.6197503,314.7162316
683.0295119,320.3552781
684.4392736,326.6992054
685.8490352,333.0431328
687.2587968,339.3870602
687.9636776,343.6163451
688.6685585,348.5505108
